aid,diffmaglim,fid,mjd,oid,sid,tid
"",19.4444,2,59301.15531249996,"ZTF18acukdvz","","ztf"
"",19.662,2,59303.16584490007,"ZTF18acukdvz","","ztf"
"",19.8699,2,59306.205868099816,"ZTF18acukdvz","","ztf"
"",20.05,2,59434.48153939983,"ZTF18acukdvz","","ztf"
"",20.003,2,59434.4839931,"ZTF18acukdvz","","ztf"
"",19.9623,2,59434.48645830015,"ZTF18acukdvz","","ztf"
"",20.0083,2,59434.488911999855,"ZTF18acukdvz","","ztf"
"",19.9753,2,59434.49137730012,"ZTF18acukdvz","","ztf"
"",19.9437,2,59435.48206020007,"ZTF18acukdvz","","ztf"
"",20.1387,2,59435.484525499865,"ZTF18acukdvz","","ztf"
"",20.1011,2,59435.48699070001,"ZTF18acukdvz","","ztf"
"",20.1263,2,59435.48945599981,"ZTF18acukdvz","","ztf"
"",20.0852,2,59435.49190969998,"ZTF18acukdvz","","ztf"
"",20.0583,2,59436.482997700106,"ZTF18acukdvz","","ztf"
"",20.1409,2,59436.485451399814,"ZTF18acukdvz","","ztf"
"",20.1881,2,59436.487916700076,"ZTF18acukdvz","","ztf"
"",20.1149,2,59436.490370399784,"ZTF18acukdvz","","ztf"
"",20.1504,2,59436.49283559993,"ZTF18acukdvz","","ztf"
"",20.2124,2,59503.41427080007,"ZTF18acukdvz","","ztf"
"",19.8182,2,59509.34568289993,"ZTF18acukdvz","","ztf"
"",20.6641,2,59517.43778940011,"ZTF18acukdvz","","ztf"
"",20.4233,2,59521.44675929984,"ZTF18acukdvz","","ztf"
"",20.6314,2,59523.494629600085,"ZTF18acukdvz","","ztf"
"",20.6546,2,59525.36111109983,"ZTF18acukdvz","","ztf"
"",15.4224,2,59527.35788189992,"ZTF18acukdvz","","ztf"
"",20.0612,2,59800.48563659983,"ZTF18acukdvz","","ztf"
"",19.3585,2,59800.48810190009,"ZTF18acukdvz","","ztf"
"",19.2567,2,59800.49056709977,"ZTF18acukdvz","","ztf"
"",16.2532,2,59800.49303240003,"ZTF18acukdvz","","ztf"
"",16.7841,2,59800.49549769983,"ZTF18acukdvz","","ztf"
"",19.8785,2,59801.48298610002,"ZTF18acukdvz","","ztf"
"",19.8757,2,59801.48543980019,"ZTF18acukdvz","","ztf"
"",19.8818,2,59801.48790509999,"ZTF18acukdvz","","ztf"
"",19.9705,2,59801.49035880016,"ZTF18acukdvz","","ztf"
"",19.8789,2,59801.49283559993,"ZTF18acukdvz","","ztf"
"",20.3122,2,59843.449282399844,"ZTF18acukdvz","","ztf"
"",20.1085,2,59846.46466440009,"ZTF18acukdvz","","ztf"
"",20.5307,2,59853.45854170015,"ZTF18acukdvz","","ztf"
"",20.6672,2,59855.48756940011,"ZTF18acukdvz","","ztf"
"",20.6822,2,59857.48288189992,"ZTF18acukdvz","","ztf"
"",19.2357,2,59864.36951390002,"ZTF18acukdvz","","ztf"
"",20.3755,2,59934.34057869995,"ZTF18acukdvz","","ztf"
"",19.9915,2,59966.25575229991,"ZTF18acukdvz","","ztf"
"",19.9625,2,59968.21910879994,"ZTF18acukdvz","","ztf"
"",19.7995,2,59970.21268519992,"ZTF18acukdvz","","ztf"
"",20.0874,2,59972.22796300007,"ZTF18acukdvz","","ztf"
"",19.7318,2,59979.19128469983,"ZTF18acukdvz","","ztf"
"",19.3308,2,59981.1906365999,"ZTF18acukdvz","","ztf"
"",19.6815,2,60268.381794000044,"ZTF18acukdvz","","ztf"
"",20.1338,2,60293.397986100055,"ZTF18acukdvz","","ztf"
