aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF21aaihgbk2687402081615",true,54.3193718,false,"",0.22886089980602264,0.04120193949500233,0.05546089263854298,"",2,false,1,20.55565643310547,19.01669456840978,60441.402083300054,"ZTF21aaihgbk",2695432841615015000,2687402081615,274.3329639,"","ztf",0.05476899817585945,0.07678999751806259,2.4590001106262207,0.10347899794578552,0.000004328479917603545,54.3194580078125,20.074499130249023,0.4235440790653229,30,797,19.31800079345703,26.24449920654297,0.02357039973139763,0.0000021583000489044935,"0",1,274.3330993652344,16,797120216,215.8350067138672,2.099100112915039,8.738539695739746,0.19900000095367432,0.04899999871850014
"","ZTF21aaihgbk2689387432915",true,54.3193718,false,"",0.25656330585479736,100,0.040418913918633885,"",2,false,1,21.11939811706543,19.11287335874124,60443.38743059989,"ZTF21aaihgbk",2695432841615015000,2689387432915,274.3329639,"","ztf",0.052751000970602036,0.07370699942111969,2.546999931335449,0.10481700301170349,0.0000035368200315133436,54.31946563720703,20.51759910583496,0.4831709563732147,30,798,19.298999786376953,26.261499404907227,0.021230900660157204,0.0000017623000303501613,"0",1,274.3331298828125,29,798120229,198.15699768066406,1.7627999782562256,6.451970100402832,0.2240000069141388,0.052000001072883606
"","ZTF21aaihgbk2689425551715",true,54.3194633,false,"",100,100,100,"",1,false,-1,100,100,60443.42555559985,"ZTF21aaihgbk",2689427912915015000,2689425551715,274.3331918,"","ztf",0.06268399953842163,0.07772299647331238,-99999,-0.0745190978050232,0.000006721640147588914,-99999,20.62660026550293,-99999,30,797,-99999,26.242799758911133,0.028509000316262245,0.0000034826000501197996,"61",1,-99999,17,797120117,112.41100311279297,2.325000047683716,4.845399856567383,-99999,-99999
"","ZTF21aaihgbk2687444651715",true,54.3194653,false,"",100,100,100,"",1,false,-1,100,100,60441.44465279998,"ZTF21aaihgbk",2687446562915015000,2687444651715,274.3332063,"","ztf",0.05265200138092041,0.07184399664402008,-99999,-0.07897289842367172,0.000005895340109418612,-99999,20.697399139404297,-99999,30,797,-99999,26.271699905395508,0.026668699458241463,0.000003043000106117688,"61",1,-99999,17,797120117,116.00599670410156,1.8978999853134155,5.192019939422607,-99999,-99999
"","ZTF21aaihgbk2660472511615",true,54.3194404,false,"",0.10588408261537552,0.054388239925789075,0.05688271002565357,"",1,false,1,20.103069305419922,19.428443307424374,60414.47251159977,"ZTF21aaihgbk",2684430001615015000,2660472511615,274.3328745,"","ztf",0.08247800171375275,0.07715900242328644,1.1699999570846558,-0.09627070277929306,0.000009278730431105942,54.319454193115234,20.455400466918945,0.4815865457057953,30,797,20.264999389648438,26.297500610351562,0.03378000110387802,0.000004504599928623065,"0",1,274.3330993652344,16,797120116,103.08100128173828,2.6556999683380127,5.405910015106201,0.04399999976158142,0.035999998450279236
"","ZTF21aaihgbk2683412522915",true,54.3193718,false,"",0.19235581159591675,100,0.03931923917505484,"",2,false,1,20.77447509765625,19.050724581661484,60437.41252310015,"ZTF21aaihgbk",2695432841615015000,2683412522915,274.3329639,"","ztf",0.056279998272657394,0.07651600241661072,2.546999931335449,0.11259099841117859,0.000003953090072172927,54.31946563720703,20.42289924621582,0.4831709563732147,30,798,19.298999786376953,26.277999877929688,0.022416699677705765,0.000001975699888134841,"0",1,274.3331298828125,29,798120229,199.93699645996094,2.2811999320983887,6.3259100914001465,0.2240000069141388,0.052000001072883606
"","ZTF21aaihgbk2683472012815",true,54.3193718,false,"",100,100,100,"",1,false,-1,100,100,60437.47201390006,"ZTF21aaihgbk",2695432841615015000,2683472012815,274.3329639,"","ztf",0.04849899932742119,0.07095900177955627,-99999,-0.0735291987657547,0.0000040443001125822775,-99999,20.77239990234375,-99999,30,798,-99999,26.316699981689453,0.022217100486159325,0.000001926500090121408,"61",1,-99999,28,798120128,94.01580047607422,1.8273999691009521,5.447090148925781,-99999,-99999
"","ZTF21aaihgbk2684408612815",true,54.3193718,false,"",100,100,100,"",2,false,-1,100,100,60438.40861110017,"ZTF21aaihgbk",2695432841615015000,2684408612815,274.3329639,"","ztf",0.05226000025868416,0.07352700084447861,-99999,0.10586400330066681,0.0000030368998977792216,-99999,20.6564998626709,-99999,30,798,-99999,26.303300857543945,0.019192300736904144,0.0000014436999435929465,"61",1,-99999,28,798120228,233.50100708007812,1.841599941253662,5.836939811706543,-99999,-99999
"","ZTF21aaihgbk2675383222815",true,54.319408,false,"",100,100,100,"",2,false,-1,100,100,60429.3832291998,"ZTF21aaihgbk",2683370831615015000,2675383222815,274.3331321,"","ztf",0.052087001502513885,0.07412000000476837,-99999,0.10166099667549133,0.000003191800033164327,-99999,20.412200927734375,-99999,30,798,-99999,26.31570053100586,0.01985359936952591,0.0000015340000345531735,"61",1,-99999,28,798120228,233.0959930419922,1.7108999490737915,7.906869888305664,-99999,-99999
"","ZTF21aaihgbk2654431291715",true,54.3194837,false,"",100,100,100,"",2,false,-1,100,100,60408.43129630014,"ZTF21aaihgbk",2682427082915015000,2654431291715,274.3333292,"","ztf",0.05392099916934967,0.07526999711990356,-99999,0.10219000279903412,0.0000037001700547989458,-99999,20.60930061340332,-99999,30,797,-99999,26.229900360107422,0.021018799394369125,0.000001909500042529544,"61",1,-99999,17,797120217,183.30599975585938,1.6862000226974487,6.257820129394531,-99999,-99999
"","ZTF21aaihgbk2663470172915",true,54.3194633,false,"",0.09531453251838684,0.03989206756306429,0.045319599747490814,"",1,false,1,20.343599319458008,19.536416678091474,60417.47017360013,"ZTF21aaihgbk",2689427912915015000,2663470172915,274.3331918,"","ztf",0.058260999619960785,0.07061800360679626,1.5720000267028809,-0.1098639965057373,0.000006601519999094307,54.319461822509766,20.597400665283203,0.16989876329898834,30,798,20.23699951171875,26.335399627685547,0.028968000784516335,0.000003305100108264014,"0",1,274.3330993652344,29,798120129,95.39669799804688,2.1391000747680664,5.64178991317749,0.07500000298023224,0.04100000113248825
